"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","0.996483","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" _start","0.996483","0","dynawo-1.8.0","_start","[Unknown]","0xce10"
"  __libc_start_main_impl","0.996483","0","libc.so.6","__libc_start_main_impl","libc-start.c","0x29dc0"
"   main","0.996483","0","dynawo-1.8.0","main","basic_string.h","0xbebd"
"    launchSimu","0.996483","0","libdynawo_Simulation.so.1","launchSimu(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","basic_string.h","0x29f4b"
"     launchSimu","0.996483","0","libdynawo_Simulation.so.1","launchSimu(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","basic_string.h","0x29f4b"
"      DYN::Simulation::simulate","0.996483","0","libdynawo_Simulation.so.1","DYN::Simulation::simulate(void)","DYNSimulation.cpp","0x28f12"
"       DYN::Solver::Impl::solve","0.926489","0","libdynawo_SolverCommon.so.1","DYN::Solver::Impl::solve(double, double&)","DYNSolverImpl.cpp","0x17010"
"        DYN::SolverSIM::solveStep","0.926489","0","dynawo_SolverSIM.so","DYN::SolverSIM::solveStep(double, double&)","DYNSolverSIM.cpp","0xc910"
"         DYN::SolverCommonFixedTimeStep::solveStepCommon","0.926489","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::solveStepCommon(double, double&)","DYNSolverCommonFixedTimeStep.cpp","0x12420"
"          DYN::SolverCommonFixedTimeStep::callAlgebraicSolver","0.876484","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::callAlgebraicSolver(void)","DYNSolverCommonFixedTimeStep.cpp","0xe680"
"           DYN::SolverCommonFixedTimeStep::callAlgebraicSolver","0.876484","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::callAlgebraicSolver(void)","DYNSolverCommonFixedTimeStep.cpp","0xe6ae"
"            DYN::SolverKINCommon::solveCommon","0.839991","0","libdynawo_SolverKINCommon.so.1","DYN::SolverKINCommon::solveCommon(void)","DYNSolverKINCommon.cpp","0xfd90"
"             KINSol","0.839991","0","libsundials_kinsol.so.6","KINSol","kinsol.c","0xf670"
"              KINLinSolDrv","0.769995","0","libsundials_kinsol.so.6","KINLinSolDrv","kinsol.c","0xc930"
"               kinLsSetup","0.750005","0","libsundials_kinsol.so.6","kinLsSetup","kinsol_ls.c","0x145a0"
"                SUNLinSolSetup_KLU","0.480015","0","libsundials_sunlinsolklu.so.4.3.0","SUNLinSolSetup_KLU","sunlinsol_klu.c","0x7030"
"                 klu_l_analyze","0.310008","0","libklu.so.1","klu_l_analyze","klu_analyze.c","0x29be0"
"                  order_and_analyze","0.310008","0","libklu.so.1","order_and_analyze","klu_analyze.c","0x29c39"
"                   btf_l_order","0.16","0","libbtf.so.1","btf_l_order","btf_order.c","0x1d40"
"                    btf_l_maxtrans","0.16","0.0100212","libbtf.so.1","btf_l_maxtrans","btf_maxtrans.c","0x1a60"
"                     augment","0.149979","0.149979","libbtf.so.1","augment","btf_maxtrans.c","0x1b40"
"                   analyze_worker","0.140007","0.0199922","libklu.so.1","analyze_worker","klu_analyze.c","0x294c0"
"                    colamd_l","0.120014","0","libcolamd.so.2","colamd_l","colamd.c","0x3810"
"                     colamd_l","0.120014","0","libcolamd.so.2","colamd_l","colamd.c","0x38a3"
"                      find_ordering","0.10002","0.0900217","libcolamd.so.2","find_ordering","colamd.c","0x4121"
"                       detect_super_cols","0.00999799","0.00999799","libcolamd.so.2","detect_super_cols","colamd.c","0x4610"
