"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","0.946161","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" _start","0.946161","0","dynawo-1.8.0","_start","[Unknown]","0xce10"
"  __libc_start_main_impl","0.946161","0","libc.so.6","__libc_start_main_impl","libc-start.c","0x29dc0"
"   main","0.946161","0","dynawo-1.8.0","main","basic_string.h","0xbebd"
"    launchSimu","0.946161","0","libdynawo_Simulation.so.1","launchSimu(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","basic_string.h","0x29f4b"
"     launchSimu","0.946161","0","libdynawo_Simulation.so.1","launchSimu(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","basic_string.h","0x29f4b"
"      DYN::Simulation::simulate","0.946161","0","libdynawo_Simulation.so.1","DYN::Simulation::simulate(void)","DYNSimulation.cpp","0x28f12"
"       DYN::Solver::Impl::solve","0.876176","0","libdynawo_SolverCommon.so.1","DYN::Solver::Impl::solve(double, double&)","DYNSolverImpl.cpp","0x17010"
"        DYN::SolverSIM::solveStep","0.876176","0","dynawo_SolverSIM.so","DYN::SolverSIM::solveStep(double, double&)","DYNSolverSIM.cpp","0xc910"
"         DYN::SolverCommonFixedTimeStep::solveStepCommon","0.876176","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::solveStepCommon(double, double&)","DYNSolverCommonFixedTimeStep.cpp","0x12420"
"          DYN::SolverCommonFixedTimeStep::callAlgebraicSolver","0.846165","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::callAlgebraicSolver(void)","DYNSolverCommonFixedTimeStep.cpp","0xe680"
"           DYN::SolverCommonFixedTimeStep::callAlgebraicSolver","0.846165","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::callAlgebraicSolver(void)","DYNSolverCommonFixedTimeStep.cpp","0xe6ae"
"            DYN::SolverKINCommon::solveCommon","0.809984","0","libdynawo_SolverKINCommon.so.1","DYN::SolverKINCommon::solveCommon(void)","DYNSolverKINCommon.cpp","0xfd90"
"             KINSol","0.809984","0","libsundials_kinsol.so.6","KINSol","kinsol.c","0xf670"
"              KINLinSolDrv","0.739986","0","libsundials_kinsol.so.6","KINLinSolDrv","kinsol.c","0xc930"
"               kinLsSetup","0.729992","0","libsundials_kinsol.so.6","kinLsSetup","kinsol_ls.c","0x145a0"
"                SUNLinSolSetup_KLU","0.468213","0","libsundials_sunlinsolklu.so.4.3.0","SUNLinSolSetup_KLU","sunlinsol_klu.c","0x7030"
"                 klu_l_analyze","0.288212","0","libklu.so.1","klu_l_analyze","klu_analyze.c","0x29be0"
"                  order_and_analyze","0.288212","0","libklu.so.1","order_and_analyze","klu_analyze.c","0x29c39"
"                   btf_l_order","0.13821","0","libbtf.so.1","btf_l_order","btf_order.c","0x1d40"
"                    btf_l_maxtrans","0.13821","0","libbtf.so.1","btf_l_maxtrans","btf_maxtrans.c","0x1a60"
"                     augment","0.13821","0.13821","libbtf.so.1","augment","btf_maxtrans.c","0x1b40"
"                   analyze_worker","0.130001","0","libklu.so.1","analyze_worker","klu_analyze.c","0x294c0"
"                    colamd_l","0.130001","0","libcolamd.so.2","colamd_l","colamd.c","0x3810"
"                     colamd_l","0.130001","0","libcolamd.so.2","colamd_l","colamd.c","0x38a3"
"                      find_ordering","0.0999939","0.0900002","libcolamd.so.2","find_ordering","colamd.c","0x4121"
"                       detect_super_cols","0.00999371","0.00999371","libcolamd.so.2","detect_super_cols","colamd.c","0x4610"
"                      init_rows_cols","0.0200101","0.0200101","libcolamd.so.2","init_rows_cols","colamd.c","0x3b35"
"                      init_scoring","0.00999712","0.00999712","libcolamd.so.2","init_scoring","colamd.c","0x3e84"
