simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,975.794,0.976
2.000000,149.327,1.125
3.000000,87.783,1.213
4.000000,65.914,1.279
5.000000,81.635,1.360
6.000000,1043.760,2.404
7.000000,86.804,2.491
8.000000,65.882,2.557
9.000000,66.878,2.624
10.000000,123.835,2.748
11.000000,179.113,2.927
12.000000,87.387,3.014
13.000000,66.317,3.080
14.000000,66.574,3.147
15.000000,66.069,3.213
16.000000,121.411,3.335
17.000000,103.715,3.438
18.000000,91.970,3.530
19.000000,81.056,3.611
20.000000,125.579,3.737
21.000000,252.812,3.990
22.000000,128.902,4.119
23.000000,92.831,4.211
24.000000,70.906,4.282
25.000000,69.494,4.352
26.000000,66.692,4.419
27.000000,66.573,4.485
28.000000,67.373,4.553
29.000000,82.652,4.635
30.000000,125.293,4.760
31.000000,176.288,4.937
32.000000,89.709,5.026
33.000000,67.384,5.094
34.000000,66.594,5.160
35.000000,65.320,5.226
36.000000,91.252,5.317
37.000000,108.327,5.425
38.000000,107.649,5.533
39.000000,104.453,5.638
40.000000,123.645,5.761
41.000000,177.672,5.939
42.000000,89.728,6.029
43.000000,67.316,6.096
44.000000,67.078,6.163
45.000000,66.953,6.230
46.000000,67.188,6.297
47.000000,66.639,6.364
48.000000,65.996,6.430
49.000000,65.922,6.496
50.000000,2802.460,9.298
51.000000,985.867,10.284
52.000000,1196.184,11.480
53.000000,149.969,11.630
54.000000,152.595,11.783
55.000000,149.006,11.932
56.000000,91.326,12.023
57.000000,84.411,12.108
58.000000,106.004,12.214
59.000000,89.815,12.303
60.000000,2323.049,14.626
61.000000,1017.003,15.643
62.000000,1074.501,16.718
63.000000,168.062,16.886
64.000000,149.574,17.036
65.000000,168.271,17.204
66.000000,147.856,17.352
67.000000,148.024,17.500
68.000000,148.868,17.649
69.000000,146.882,17.796
70.000000,166.652,17.962
71.000000,178.905,18.141
72.000000,154.694,18.296
73.000000,152.853,18.449
74.000000,154.732,18.603
75.000000,105.762,18.709
76.000000,90.562,18.800
77.000000,68.757,18.868
78.000000,131.359,19.000
79.000000,151.808,19.152
80.000000,125.763,19.277
81.000000,231.014,19.508
82.000000,119.724,19.628
83.000000,120.625,19.749
84.000000,99.202,19.848
85.000000,73.729,19.922
86.000000,69.410,19.991
87.000000,67.281,20.058
88.000000,67.070,20.126
89.000000,65.516,20.191
90.000000,107.820,20.299
91.000000,274.075,20.573
92.000000,186.445,20.759
93.000000,101.236,20.861
94.000000,138.774,20.999
95.000000,111.349,21.111
96.000000,125.737,21.237
97.000000,145.674,21.382
98.000000,890.415,22.273
99.000000,64.986,22.338
100.000000,105.974,22.444
