simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,620.348,0.620
2.000000,106.045,0.726
3.000000,65.699,0.792
4.000000,49.814,0.842
5.000000,61.862,0.904
6.000000,693.551,1.597
7.000000,62.206,1.660
8.000000,47.762,1.707
9.000000,49.084,1.756
10.000000,91.036,1.847
11.000000,126.829,1.974
12.000000,74.723,2.049
13.000000,53.315,2.102
14.000000,53.228,2.156
15.000000,55.280,2.211
16.000000,102.345,2.313
17.000000,79.022,2.392
18.000000,67.340,2.460
19.000000,66.659,2.526
20.000000,92.932,2.619
21.000000,159.484,2.779
22.000000,74.592,2.853
23.000000,59.694,2.913
24.000000,45.541,2.959
25.000000,47.641,3.006
26.000000,45.521,3.052
27.000000,45.952,3.098
28.000000,46.142,3.144
29.000000,58.052,3.202
30.000000,87.077,3.289
31.000000,120.265,3.409
32.000000,59.747,3.469
33.000000,45.264,3.514
34.000000,45.806,3.560
35.000000,46.464,3.607
36.000000,56.750,3.663
37.000000,70.064,3.733
38.000000,69.916,3.803
39.000000,70.444,3.874
40.000000,92.635,3.966
41.000000,121.244,4.088
42.000000,59.623,4.147
43.000000,45.657,4.193
44.000000,44.893,4.238
45.000000,46.019,4.284
46.000000,45.980,4.330
47.000000,44.793,4.375
48.000000,45.400,4.420
49.000000,45.391,4.465
50.000000,1752.905,6.218
51.000000,659.632,6.878
52.000000,704.548,7.582
53.000000,99.968,7.682
54.000000,98.996,7.781
55.000000,98.968,7.880
56.000000,58.950,7.939
57.000000,67.408,8.007
58.000000,77.410,8.084
59.000000,61.645,8.146
60.000000,1316.686,9.463
61.000000,662.398,10.125
62.000000,714.989,10.840
63.000000,117.457,10.957
64.000000,106.237,11.064
65.000000,124.392,11.188
66.000000,105.731,11.294
67.000000,100.862,11.395
68.000000,102.644,11.497
69.000000,110.505,11.608
70.000000,116.165,11.724
71.000000,127.647,11.852
72.000000,107.584,11.959
73.000000,99.389,12.059
74.000000,107.010,12.166
75.000000,75.095,12.241
76.000000,59.774,12.301
77.000000,44.856,12.345
78.000000,86.385,12.432
79.000000,99.418,12.531
80.000000,85.756,12.617
81.000000,152.686,12.770
82.000000,72.400,12.842
83.000000,70.993,12.913
84.000000,59.902,12.973
85.000000,45.535,13.019
86.000000,45.899,13.064
87.000000,44.983,13.109
88.000000,45.600,13.155
89.000000,46.254,13.201
90.000000,74.919,13.276
91.000000,177.697,13.454
92.000000,175.151,13.629
93.000000,105.417,13.734
94.000000,90.701,13.825
95.000000,77.911,13.903
96.000000,87.847,13.991
97.000000,99.668,14.091
98.000000,595.765,14.686
99.000000,45.334,14.732
100.000000,75.110,14.807
