simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,278.634,0.279
2.000000,48.416,0.327
3.000000,29.048,0.356
4.000000,23.647,0.380
5.000000,29.492,0.409
6.000000,341.526,0.751
7.000000,32.675,0.783
8.000000,24.448,0.808
9.000000,24.167,0.832
10.000000,55.636,0.888
11.000000,66.393,0.954
12.000000,29.772,0.984
13.000000,22.379,1.006
14.000000,22.313,1.029
15.000000,21.787,1.050
16.000000,48.178,1.099
17.000000,34.428,1.133
18.000000,27.856,1.161
19.000000,29.113,1.190
20.000000,44.418,1.234
21.000000,74.243,1.309
22.000000,38.448,1.347
23.000000,31.418,1.379
24.000000,23.460,1.402
25.000000,25.238,1.427
26.000000,22.922,1.450
27.000000,23.774,1.474
28.000000,24.704,1.499
29.000000,30.557,1.529
30.000000,47.537,1.577
31.000000,60.845,1.638
32.000000,29.433,1.667
33.000000,21.973,1.689
34.000000,21.966,1.711
35.000000,21.804,1.733
36.000000,29.021,1.762
37.000000,34.943,1.797
38.000000,34.767,1.832
39.000000,34.969,1.867
40.000000,43.866,1.910
41.000000,61.166,1.972
42.000000,28.099,2.000
43.000000,22.259,2.022
44.000000,22.332,2.044
45.000000,21.703,2.066
46.000000,22.027,2.088
47.000000,22.055,2.110
48.000000,21.999,2.132
49.000000,22.481,2.155
50.000000,743.700,2.898
51.000000,303.883,3.202
52.000000,323.119,3.525
53.000000,50.364,3.576
54.000000,49.518,3.625
55.000000,49.023,3.674
56.000000,27.787,3.702
57.000000,28.818,3.731
58.000000,35.256,3.766
59.000000,28.038,3.794
60.000000,38.919,3.833
61.000000,62.093,3.895
62.000000,35.394,3.931
63.000000,35.150,3.966
64.000000,35.294,4.001
65.000000,37.089,4.038
66.000000,30.456,4.069
67.000000,22.381,4.091
68.000000,22.589,4.114
69.000000,22.419,4.136
70.000000,38.390,4.174
71.000000,64.028,4.238
72.000000,34.879,4.273
73.000000,27.713,4.301
74.000000,22.305,4.323
75.000000,38.866,4.362
76.000000,28.193,4.390
77.000000,22.779,4.413
78.000000,23.550,4.437
79.000000,39.433,4.476
80.000000,44.433,4.521
81.000000,61.818,4.582
82.000000,29.275,4.612
83.000000,30.126,4.642
84.000000,28.018,4.670
85.000000,22.305,4.692
86.000000,29.216,4.721
87.000000,35.584,4.757
88.000000,35.368,4.792
89.000000,34.975,4.827
90.000000,44.525,4.872
91.000000,61.475,4.933
92.000000,35.839,4.969
93.000000,36.097,5.005
94.000000,35.832,5.041
95.000000,28.449,5.070
96.000000,29.526,5.099
97.000000,34.704,5.134
98.000000,35.618,5.169
99.000000,34.924,5.204
100.000000,46.572,5.251
