simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,928.599,0.929
2.000000,145.078,1.074
3.000000,85.663,1.159
4.000000,65.592,1.225
5.000000,79.660,1.305
6.000000,1034.082,2.339
7.000000,85.954,2.425
8.000000,67.104,2.492
9.000000,68.132,2.560
10.000000,125.230,2.685
11.000000,184.991,2.870
12.000000,90.984,2.961
13.000000,67.900,3.029
14.000000,68.426,3.097
15.000000,67.970,3.165
16.000000,126.902,3.292
17.000000,104.988,3.397
18.000000,88.943,3.486
19.000000,85.449,3.572
20.000000,122.410,3.694
21.000000,215.075,3.909
22.000000,101.706,4.011
23.000000,86.213,4.097
24.000000,64.776,4.162
25.000000,68.229,4.230
26.000000,65.004,4.295
27.000000,65.307,4.361
28.000000,67.814,4.428
29.000000,81.676,4.510
30.000000,121.693,4.632
31.000000,174.052,4.806
32.000000,87.878,4.894
33.000000,66.908,4.961
34.000000,70.501,5.031
35.000000,68.497,5.100
36.000000,84.618,5.184
37.000000,103.288,5.287
38.000000,103.269,5.391
39.000000,105.380,5.496
40.000000,122.002,5.618
41.000000,173.607,5.792
42.000000,86.751,5.879
43.000000,65.178,5.944
44.000000,67.128,6.011
45.000000,66.780,6.078
46.000000,66.987,6.145
47.000000,66.854,6.211
48.000000,66.736,6.278
49.000000,68.300,6.347
50.000000,2963.677,9.310
51.000000,957.299,10.268
52.000000,89.124,10.357
53.000000,80.101,10.437
54.000000,120.375,10.557
55.000000,1080.882,11.638
56.000000,100.562,11.739
57.000000,86.580,11.825
58.000000,99.896,11.925
59.000000,87.518,12.013
60.000000,106.439,12.119
61.000000,173.173,12.292
62.000000,87.844,12.380
63.000000,80.640,12.461
64.000000,86.941,12.548
65.000000,65.128,12.613
66.000000,65.764,12.679
67.000000,66.487,12.745
68.000000,64.881,12.810
69.000000,64.979,12.875
70.000000,99.217,12.974
71.000000,177.584,13.152
72.000000,90.194,13.242
73.000000,65.847,13.308
74.000000,64.779,13.373
75.000000,65.328,13.438
76.000000,66.155,13.504
77.000000,65.423,13.569
78.000000,65.575,13.635
79.000000,64.743,13.700
80.000000,105.686,13.805
81.000000,216.069,14.022
82.000000,101.916,14.123
83.000000,86.166,14.210
84.000000,66.727,14.276
85.000000,65.670,14.342
86.000000,80.045,14.422
87.000000,101.814,14.524
88.000000,87.174,14.611
89.000000,64.491,14.676
90.000000,105.462,14.781
91.000000,215.047,14.996
92.000000,87.860,15.084
93.000000,66.206,15.150
94.000000,79.801,15.230
95.000000,86.875,15.317
96.000000,79.354,15.396
97.000000,100.336,15.497
98.000000,72.117,15.569
99.000000,64.754,15.633
100.000000,107.819,15.741
