simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,644.609,0.645
2.000000,736.602,1.381
3.000000,61.127,1.442
4.000000,46.527,1.489
5.000000,60.292,1.549
6.000000,722.164,2.271
7.000000,60.850,2.332
8.000000,46.755,2.379
9.000000,48.005,2.427
10.000000,89.630,2.517
11.000000,125.704,2.642
12.000000,62.374,2.705
13.000000,48.741,2.753
14.000000,46.193,2.800
15.000000,46.815,2.846
16.000000,90.818,2.937
17.000000,71.858,3.009
18.000000,88.932,3.098
19.000000,73.061,3.171
20.000000,104.217,3.275
21.000000,156.728,3.432
22.000000,88.994,3.521
23.000000,72.753,3.594
24.000000,104.272,3.698
25.000000,72.779,3.771
26.000000,60.392,3.831
27.000000,46.667,3.878
28.000000,47.333,3.925
29.000000,48.590,3.974
30.000000,73.548,4.047
31.000000,124.595,4.172
32.000000,72.769,4.245
33.000000,61.144,4.306
34.000000,47.163,4.353
35.000000,46.670,4.400
36.000000,47.317,4.447
37.000000,59.345,4.507
38.000000,74.612,4.581
39.000000,73.348,4.654
40.000000,88.143,4.743
41.000000,123.505,4.866
42.000000,70.427,4.937
43.000000,53.020,4.990
44.000000,52.986,5.043
45.000000,52.401,5.095
46.000000,53.535,5.149
47.000000,58.938,5.207
48.000000,52.201,5.260
49.000000,47.934,5.308
50.000000,1898.115,7.206
51.000000,657.368,7.863
52.000000,69.055,7.932
53.000000,58.485,7.991
54.000000,73.584,8.064
55.000000,722.184,8.786
56.000000,72.441,8.859
57.000000,61.321,8.920
58.000000,47.219,8.967
59.000000,49.258,9.017
60.000000,74.320,9.091
61.000000,125.694,9.217
62.000000,61.493,9.278
63.000000,58.808,9.337
64.000000,63.609,9.401
65.000000,47.058,9.448
66.000000,46.972,9.495
67.000000,47.198,9.542
68.000000,49.135,9.591
69.000000,46.740,9.638
70.000000,74.524,9.712
71.000000,124.013,9.836
72.000000,61.911,9.898
73.000000,47.502,9.946
74.000000,48.067,9.994
75.000000,46.589,10.040
76.000000,48.175,10.089
77.000000,46.621,10.135
78.000000,48.620,10.184
79.000000,48.137,10.232
80.000000,78.054,10.310
81.000000,156.499,10.467
82.000000,73.346,10.540
83.000000,63.280,10.603
84.000000,59.629,10.663
85.000000,73.379,10.736
86.000000,61.723,10.798
87.000000,48.288,10.846
88.000000,47.332,10.894
89.000000,46.563,10.940
90.000000,79.674,11.020
91.000000,155.530,11.175
92.000000,61.583,11.237
93.000000,47.899,11.285
94.000000,46.479,11.331
95.000000,47.531,11.379
96.000000,48.783,11.428
97.000000,47.406,11.475
98.000000,46.947,11.522
99.000000,46.662,11.569
100.000000,81.027,11.650
