simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,290.302,0.290
2.000000,51.967,0.342
3.000000,31.224,0.374
4.000000,24.863,0.398
5.000000,33.706,0.432
6.000000,301.935,0.734
7.000000,32.509,0.767
8.000000,23.248,0.790
9.000000,24.877,0.815
10.000000,53.074,0.868
11.000000,66.218,0.934
12.000000,31.576,0.966
13.000000,24.609,0.990
14.000000,25.369,1.016
15.000000,23.051,1.039
16.000000,53.945,1.093
17.000000,40.670,1.133
18.000000,31.156,1.164
19.000000,32.068,1.196
20.000000,48.584,1.245
21.000000,80.361,1.325
22.000000,40.940,1.366
23.000000,30.957,1.397
24.000000,24.684,1.422
25.000000,25.516,1.448
26.000000,23.307,1.471
27.000000,25.093,1.496
28.000000,24.779,1.521
29.000000,32.766,1.554
30.000000,48.496,1.602
31.000000,67.301,1.669
32.000000,31.074,1.700
33.000000,22.778,1.723
34.000000,24.323,1.747
35.000000,24.230,1.772
36.000000,32.453,1.804
37.000000,37.919,1.842
38.000000,38.618,1.881
39.000000,39.649,1.920
40.000000,47.576,1.968
41.000000,66.384,2.034
42.000000,31.545,2.066
43.000000,24.046,2.090
44.000000,25.171,2.115
45.000000,22.989,2.138
46.000000,24.950,2.163
47.000000,23.891,2.187
48.000000,24.992,2.212
49.000000,25.053,2.237
50.000000,499.354,2.736
51.000000,297.969,3.034
52.000000,31.274,3.066
53.000000,31.613,3.097
54.000000,48.079,3.145
55.000000,321.937,3.467
56.000000,38.188,3.505
57.000000,32.093,3.538
58.000000,42.907,3.580
59.000000,31.806,3.612
60.000000,41.800,3.654
61.000000,67.473,3.722
62.000000,31.127,3.753
63.000000,31.543,3.784
64.000000,31.229,3.816
65.000000,23.416,3.839
66.000000,24.703,3.864
67.000000,24.015,3.888
68.000000,24.741,3.912
69.000000,24.620,3.937
70.000000,42.012,3.979
71.000000,66.056,4.045
72.000000,31.485,4.077
73.000000,24.948,4.102
74.000000,23.647,4.125
75.000000,24.426,4.150
76.000000,25.207,4.175
77.000000,23.903,4.199
78.000000,24.880,4.224
79.000000,24.128,4.248
80.000000,44.974,4.293
81.000000,81.286,4.374
82.000000,40.769,4.415
83.000000,31.171,4.446
84.000000,23.654,4.470
85.000000,27.620,4.497
86.000000,32.768,4.530
87.000000,36.812,4.567
88.000000,33.345,4.600
89.000000,24.341,4.625
90.000000,47.034,4.672
91.000000,83.391,4.755
92.000000,32.539,4.788
93.000000,25.905,4.813
94.000000,33.648,4.847
95.000000,29.980,4.877
96.000000,32.482,4.910
97.000000,30.881,4.940
98.000000,25.231,4.966
99.000000,24.534,4.990
100.000000,45.665,5.036
