simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,934.929,0.935
2.000000,145.313,1.080
3.000000,85.553,1.166
4.000000,64.485,1.230
5.000000,79.648,1.310
6.000000,1034.560,2.345
7.000000,85.613,2.430
8.000000,65.194,2.495
9.000000,64.618,2.560
10.000000,119.068,2.679
11.000000,176.276,2.855
12.000000,86.188,2.942
13.000000,64.823,3.006
14.000000,64.906,3.071
15.000000,64.474,3.136
16.000000,120.702,3.256
17.000000,105.727,3.362
18.000000,90.957,3.453
19.000000,83.655,3.537
20.000000,132.034,3.669
21.000000,217.302,3.886
22.000000,104.838,3.991
23.000000,88.717,4.080
24.000000,67.880,4.148
25.000000,66.752,4.214
26.000000,67.397,4.282
27.000000,76.872,4.359
28.000000,76.886,4.436
29.000000,79.558,4.515
30.000000,124.884,4.640
31.000000,182.945,4.823
32.000000,97.697,4.921
33.000000,68.618,4.989
34.000000,68.365,5.058
35.000000,67.269,5.125
36.000000,81.293,5.206
37.000000,101.421,5.308
38.000000,101.334,5.409
39.000000,103.901,5.513
40.000000,120.514,5.633
41.000000,170.780,5.804
42.000000,86.326,5.890
43.000000,66.375,5.957
44.000000,64.479,6.021
45.000000,64.645,6.086
46.000000,64.578,6.151
47.000000,64.473,6.215
48.000000,64.642,6.280
49.000000,64.714,6.344
50.000000,1875.519,8.220
51.000000,1839.132,10.059
52.000000,1365.920,11.425
53.000000,1282.988,12.708
54.000000,227.553,12.936
55.000000,1087.098,14.023
56.000000,165.060,14.188
57.000000,208.851,14.397
58.000000,207.703,14.604
59.000000,207.172,14.811
60.000000,213.643,15.025
61.000000,295.461,15.321
62.000000,267.749,15.588
63.000000,231.132,15.819
64.000000,250.938,16.070
65.000000,250.381,16.321
66.000000,252.648,16.573
67.000000,231.030,16.805
68.000000,249.619,17.054
69.000000,232.518,17.287
70.000000,265.437,17.552
71.000000,363.828,17.916
72.000000,256.672,18.173
73.000000,250.899,18.424
74.000000,261.524,18.685
75.000000,986.543,19.672
76.000000,121.926,19.794
77.000000,100.746,19.894
78.000000,85.489,19.980
79.000000,122.938,20.103
80.000000,169.069,20.272
81.000000,216.262,20.488
82.000000,163.611,20.652
83.000000,144.229,20.796
84.000000,142.829,20.939
85.000000,163.502,21.102
86.000000,143.356,21.246
87.000000,129.358,21.375
88.000000,108.760,21.484
89.000000,111.544,21.595
90.000000,170.480,21.766
91.000000,254.119,22.020
92.000000,155.530,22.175
93.000000,144.271,22.320
94.000000,148.642,22.468
95.000000,130.526,22.599
96.000000,131.521,22.730
97.000000,148.105,22.879
98.000000,125.661,23.004
99.000000,116.740,23.121
100.000000,148.966,23.270
