simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,637.854,0.638
2.000000,103.117,0.741
3.000000,61.431,0.802
4.000000,46.708,0.849
5.000000,58.156,0.907
6.000000,691.219,1.599
7.000000,59.126,1.658
8.000000,45.584,1.703
9.000000,45.714,1.749
10.000000,85.943,1.835
11.000000,124.240,1.959
12.000000,59.456,2.019
13.000000,45.464,2.064
14.000000,44.797,2.109
15.000000,45.502,2.154
16.000000,87.105,2.241
17.000000,70.158,2.312
18.000000,58.835,2.371
19.000000,56.974,2.427
20.000000,86.905,2.514
21.000000,156.255,2.671
22.000000,74.154,2.745
23.000000,62.528,2.807
24.000000,46.798,2.854
25.000000,47.721,2.902
26.000000,46.833,2.949
27.000000,47.106,2.996
28.000000,47.014,3.043
29.000000,58.641,3.101
30.000000,88.656,3.190
31.000000,123.186,3.313
32.000000,61.325,3.375
33.000000,50.116,3.425
34.000000,50.279,3.475
35.000000,49.197,3.524
36.000000,56.589,3.581
37.000000,70.199,3.651
38.000000,70.718,3.722
39.000000,70.363,3.792
40.000000,85.642,3.878
41.000000,119.286,3.997
42.000000,59.982,4.057
43.000000,45.546,4.103
44.000000,45.149,4.148
45.000000,46.693,4.195
46.000000,49.746,4.244
47.000000,48.553,4.293
48.000000,47.695,4.341
49.000000,48.010,4.389
50.000000,1282.249,5.671
51.000000,1312.807,6.984
52.000000,985.935,7.970
53.000000,905.258,8.875
54.000000,170.554,9.045
55.000000,732.854,9.778
56.000000,121.355,9.900
57.000000,152.482,10.052
58.000000,191.595,10.244
59.000000,194.514,10.438
60.000000,154.237,10.592
61.000000,195.134,10.788
62.000000,173.652,10.961
63.000000,156.389,11.118
64.000000,175.779,11.293
65.000000,174.223,11.468
66.000000,174.339,11.642
67.000000,156.524,11.799
68.000000,173.058,11.972
69.000000,175.213,12.147
70.000000,213.938,12.361
71.000000,265.320,12.626
72.000000,167.607,12.794
73.000000,182.107,12.976
74.000000,165.750,13.142
75.000000,663.095,13.805
76.000000,86.170,13.891
77.000000,71.227,13.962
78.000000,60.343,14.022
79.000000,86.713,14.109
80.000000,124.225,14.233
81.000000,160.378,14.394
82.000000,120.850,14.515
83.000000,103.144,14.618
84.000000,104.877,14.723
85.000000,119.271,14.842
86.000000,125.130,14.967
87.000000,112.844,15.080
88.000000,83.065,15.163
89.000000,85.404,15.248
90.000000,124.608,15.373
91.000000,166.151,15.539
92.000000,112.116,15.651
93.000000,124.834,15.776
94.000000,110.494,15.887
95.000000,161.664,16.048
96.000000,81.454,16.130
97.000000,101.106,16.231
98.000000,92.565,16.323
99.000000,76.256,16.400
100.000000,117.891,16.518
