simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,264.767,0.265
2.000000,47.205,0.312
3.000000,28.326,0.340
4.000000,21.937,0.362
5.000000,28.792,0.391
6.000000,309.162,0.700
7.000000,27.755,0.728
8.000000,22.271,0.750
9.000000,22.200,0.772
10.000000,47.795,0.820
11.000000,60.844,0.881
12.000000,28.145,0.909
13.000000,21.974,0.931
14.000000,22.770,0.954
15.000000,21.830,0.976
16.000000,47.595,1.023
17.000000,34.871,1.058
18.000000,27.950,1.086
19.000000,28.807,1.115
20.000000,44.734,1.160
21.000000,72.582,1.232
22.000000,35.771,1.268
23.000000,27.630,1.296
24.000000,21.778,1.318
25.000000,22.323,1.340
26.000000,22.162,1.362
27.000000,21.696,1.384
28.000000,22.410,1.406
29.000000,28.630,1.435
30.000000,44.077,1.479
31.000000,60.285,1.539
32.000000,28.190,1.567
33.000000,21.699,1.589
34.000000,21.899,1.611
35.000000,21.943,1.633
36.000000,29.210,1.662
37.000000,34.380,1.697
38.000000,34.493,1.731
39.000000,34.922,1.766
40.000000,44.030,1.810
41.000000,60.911,1.871
42.000000,28.131,1.899
43.000000,21.983,1.921
44.000000,22.322,1.943
45.000000,21.822,1.965
46.000000,22.003,1.987
47.000000,21.798,2.009
48.000000,21.702,2.031
49.000000,22.753,2.054
50.000000,481.030,2.535
51.000000,526.959,3.062
52.000000,400.567,3.462
53.000000,361.553,3.824
54.000000,78.622,3.902
55.000000,304.222,4.206
56.000000,57.614,4.264
57.000000,69.517,4.334
58.000000,69.588,4.403
59.000000,69.654,4.473
60.000000,69.732,4.543
61.000000,94.766,4.637
62.000000,83.987,4.721
63.000000,73.930,4.795
64.000000,84.025,4.879
65.000000,82.110,4.961
66.000000,82.798,5.044
67.000000,72.373,5.117
68.000000,81.831,5.198
69.000000,72.973,5.271
70.000000,83.165,5.355
71.000000,110.369,5.465
72.000000,74.982,5.540
73.000000,82.968,5.623
74.000000,73.456,5.696
75.000000,291.012,5.987
76.000000,48.558,6.036
77.000000,36.841,6.073
78.000000,29.127,6.102
79.000000,43.925,6.146
80.000000,62.405,6.208
81.000000,75.469,6.284
82.000000,57.148,6.341
83.000000,46.938,6.388
84.000000,52.259,6.440
85.000000,58.677,6.499
86.000000,47.538,6.546
87.000000,42.044,6.588
88.000000,34.644,6.623
89.000000,35.208,6.658
90.000000,52.938,6.711
91.000000,76.091,6.787
92.000000,48.242,6.836
93.000000,47.101,6.883
94.000000,47.740,6.930
95.000000,40.330,6.971
96.000000,35.431,7.006
97.000000,34.454,7.041
98.000000,34.892,7.076
99.000000,34.946,7.111
100.000000,50.968,7.161
