simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,943.278,0.943
2.000000,146.327,1.090
3.000000,86.739,1.176
4.000000,65.784,1.242
5.000000,81.393,1.324
6.000000,1046.193,2.370
7.000000,86.605,2.456
8.000000,65.697,2.522
9.000000,67.015,2.589
10.000000,122.607,2.712
11.000000,178.779,2.890
12.000000,87.928,2.978
13.000000,66.176,3.045
14.000000,65.891,3.110
15.000000,66.988,3.177
16.000000,122.698,3.300
17.000000,104.721,3.405
18.000000,87.298,3.492
19.000000,81.942,3.574
20.000000,125.199,3.699
21.000000,220.774,3.920
22.000000,102.589,4.023
23.000000,86.568,4.109
24.000000,65.753,4.175
25.000000,65.646,4.241
26.000000,65.528,4.306
27.000000,67.379,4.374
28.000000,66.756,4.440
29.000000,81.267,4.522
30.000000,125.701,4.647
31.000000,173.917,4.821
32.000000,89.406,4.911
33.000000,67.312,4.978
34.000000,67.458,5.045
35.000000,66.791,5.112
36.000000,81.864,5.194
37.000000,101.990,5.296
38.000000,104.013,5.400
39.000000,101.581,5.502
40.000000,123.106,5.625
41.000000,171.411,5.796
42.000000,87.123,5.883
43.000000,65.632,5.949
44.000000,65.320,6.014
45.000000,65.281,6.080
46.000000,65.447,6.145
47.000000,66.561,6.212
48.000000,65.293,6.277
49.000000,66.420,6.343
50.000000,1363.820,7.707
51.000000,1002.284,8.710
52.000000,1092.151,9.802
53.000000,146.324,9.948
54.000000,145.887,10.094
55.000000,146.166,10.240
56.000000,86.523,10.327
57.000000,85.447,10.412
58.000000,102.344,10.514
59.000000,86.714,10.601
60.000000,1275.070,11.876
61.000000,995.524,12.872
62.000000,1045.273,13.917
63.000000,165.410,14.082
64.000000,145.754,14.228
65.000000,168.966,14.397
66.000000,150.024,14.547
67.000000,149.794,14.697
68.000000,147.347,14.844
69.000000,171.827,15.016
70.000000,202.508,15.219
71.000000,194.234,15.413
72.000000,147.045,15.560
73.000000,147.515,15.707
74.000000,149.182,15.857
75.000000,117.245,15.974
76.000000,110.747,16.085
77.000000,79.372,16.164
78.000000,151.252,16.315
79.000000,148.672,16.464
80.000000,122.259,16.586
81.000000,218.038,16.804
82.000000,103.510,16.908
83.000000,101.662,17.009
84.000000,86.816,17.096
85.000000,65.609,17.162
86.000000,65.622,17.228
87.000000,65.548,17.293
88.000000,67.947,17.361
89.000000,65.565,17.427
90.000000,106.517,17.533
91.000000,260.697,17.794
92.000000,186.702,17.981
93.000000,101.901,18.082
94.000000,131.200,18.214
95.000000,109.280,18.323
96.000000,127.211,18.450
97.000000,145.477,18.596
98.000000,879.835,19.475
99.000000,65.421,19.541
100.000000,106.444,19.647
