simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,648.671,0.649
2.000000,105.723,0.754
3.000000,64.215,0.819
4.000000,51.230,0.870
5.000000,63.336,0.933
6.000000,742.340,1.676
7.000000,64.855,1.740
8.000000,48.721,1.789
9.000000,49.752,1.839
10.000000,95.638,1.935
11.000000,124.265,2.059
12.000000,63.706,2.123
13.000000,48.784,2.171
14.000000,48.607,2.220
15.000000,47.977,2.268
16.000000,95.152,2.363
17.000000,75.157,2.438
18.000000,63.497,2.502
19.000000,59.965,2.562
20.000000,92.423,2.654
21.000000,157.132,2.811
22.000000,73.705,2.885
23.000000,60.800,2.946
24.000000,45.105,2.991
25.000000,45.151,3.036
26.000000,45.480,3.082
27.000000,46.900,3.128
28.000000,49.055,3.177
29.000000,62.614,3.240
30.000000,92.921,3.333
31.000000,127.078,3.460
32.000000,64.002,3.524
33.000000,48.576,3.573
34.000000,47.434,3.620
35.000000,48.044,3.668
36.000000,60.947,3.729
37.000000,75.167,3.804
38.000000,77.152,3.882
39.000000,74.647,3.956
40.000000,90.800,4.047
41.000000,124.228,4.171
42.000000,60.181,4.231
43.000000,45.046,4.276
44.000000,46.266,4.323
45.000000,44.893,4.368
46.000000,45.136,4.413
47.000000,45.461,4.458
48.000000,44.893,4.503
49.000000,45.642,4.549
50.000000,868.950,5.418
51.000000,718.126,6.136
52.000000,769.238,6.905
53.000000,107.739,7.013
54.000000,107.063,7.120
55.000000,100.963,7.221
56.000000,59.061,7.280
57.000000,57.017,7.337
58.000000,70.345,7.407
59.000000,58.788,7.466
60.000000,804.000,8.270
61.000000,703.884,8.974
62.000000,724.752,9.699
63.000000,115.677,9.814
64.000000,103.124,9.918
65.000000,115.201,10.033
66.000000,99.758,10.133
67.000000,102.071,10.235
68.000000,101.028,10.336
69.000000,100.775,10.436
70.000000,116.438,10.553
71.000000,120.773,10.674
72.000000,108.329,10.782
73.000000,108.688,10.891
74.000000,109.987,11.001
75.000000,75.852,11.077
76.000000,64.755,11.141
77.000000,49.716,11.191
78.000000,95.792,11.287
79.000000,107.133,11.394
80.000000,92.683,11.487
81.000000,160.272,11.647
82.000000,72.500,11.719
83.000000,70.253,11.790
84.000000,61.095,11.851
85.000000,45.453,11.896
86.000000,45.323,11.942
87.000000,45.266,11.987
88.000000,45.431,12.032
89.000000,46.327,12.079
90.000000,76.385,12.155
91.000000,180.202,12.335
92.000000,131.389,12.467
93.000000,78.419,12.545
94.000000,95.848,12.641
95.000000,80.498,12.721
96.000000,99.771,12.821
97.000000,116.993,12.938
98.000000,611.242,13.549
99.000000,49.117,13.599
100.000000,78.062,13.677
