simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,267.568,0.268
2.000000,48.322,0.316
3.000000,28.897,0.345
4.000000,22.184,0.367
5.000000,29.197,0.396
6.000000,298.124,0.694
7.000000,28.350,0.723
8.000000,22.080,0.745
9.000000,22.394,0.767
10.000000,48.851,0.816
11.000000,60.803,0.877
12.000000,28.700,0.906
13.000000,22.202,0.928
14.000000,22.538,0.950
15.000000,22.289,0.973
16.000000,48.831,1.021
17.000000,35.298,1.057
18.000000,28.029,1.085
19.000000,29.353,1.114
20.000000,45.526,1.160
21.000000,74.027,1.234
22.000000,35.873,1.270
23.000000,28.133,1.298
24.000000,22.643,1.320
25.000000,22.731,1.343
26.000000,22.413,1.365
27.000000,22.322,1.388
28.000000,23.114,1.411
29.000000,31.408,1.442
30.000000,44.951,1.487
31.000000,61.293,1.549
32.000000,28.710,1.577
33.000000,22.116,1.599
34.000000,22.468,1.622
35.000000,22.216,1.644
36.000000,29.663,1.674
37.000000,35.243,1.709
38.000000,35.232,1.744
39.000000,35.655,1.780
40.000000,45.112,1.825
41.000000,61.144,1.886
42.000000,28.631,1.915
43.000000,22.263,1.937
44.000000,22.484,1.960
45.000000,22.143,1.982
46.000000,22.515,2.004
47.000000,22.292,2.027
48.000000,22.200,2.049
49.000000,22.818,2.072
50.000000,734.105,2.806
51.000000,319.605,3.125
52.000000,340.501,3.466
53.000000,49.172,3.515
54.000000,52.375,3.567
55.000000,65.112,3.633
56.000000,35.789,3.668
57.000000,30.300,3.699
58.000000,35.560,3.734
59.000000,28.376,3.763
60.000000,39.456,3.802
61.000000,61.775,3.864
62.000000,36.110,3.900
63.000000,35.584,3.936
64.000000,36.107,3.972
65.000000,35.664,4.007
66.000000,28.734,4.036
67.000000,22.792,4.059
68.000000,22.410,4.081
69.000000,23.001,4.104
70.000000,41.460,4.146
71.000000,65.850,4.212
72.000000,35.906,4.247
73.000000,29.129,4.277
74.000000,22.388,4.299
75.000000,39.480,4.338
76.000000,28.390,4.367
77.000000,22.525,4.389
78.000000,22.670,4.412
79.000000,41.240,4.453
80.000000,45.629,4.499
81.000000,61.614,4.561
82.000000,29.430,4.590
83.000000,29.398,4.619
84.000000,28.434,4.648
85.000000,22.553,4.670
86.000000,29.450,4.700
87.000000,35.910,4.736
88.000000,35.737,4.772
89.000000,36.127,4.808
90.000000,45.363,4.853
91.000000,61.616,4.915
92.000000,35.923,4.951
93.000000,35.806,4.986
94.000000,35.732,5.022
95.000000,28.544,5.051
96.000000,29.653,5.080
97.000000,35.543,5.116
98.000000,35.732,5.152
99.000000,35.668,5.187
100.000000,45.375,5.233
