simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,941.973,0.942
2.000000,146.509,1.089
3.000000,87.948,1.176
4.000000,66.605,1.243
5.000000,81.279,1.324
6.000000,1041.896,2.366
7.000000,88.032,2.454
8.000000,65.954,2.520
9.000000,65.522,2.586
10.000000,122.056,2.708
11.000000,178.163,2.886
12.000000,87.564,2.974
13.000000,65.828,3.039
14.000000,65.722,3.105
15.000000,65.868,3.171
16.000000,121.841,3.293
17.000000,102.291,3.395
18.000000,86.937,3.482
19.000000,81.265,3.563
20.000000,122.948,3.686
21.000000,216.748,3.903
22.000000,102.628,4.006
23.000000,86.854,4.093
24.000000,66.106,4.159
25.000000,66.491,4.225
26.000000,66.411,4.292
27.000000,66.773,4.358
28.000000,66.125,4.424
29.000000,81.272,4.506
30.000000,122.630,4.628
31.000000,171.918,4.800
32.000000,87.647,4.888
33.000000,65.660,4.954
34.000000,65.835,5.019
35.000000,65.653,5.085
36.000000,81.263,5.166
37.000000,102.192,5.269
38.000000,102.436,5.371
39.000000,102.070,5.473
40.000000,122.269,5.595
41.000000,172.172,5.768
42.000000,87.424,5.855
43.000000,65.927,5.921
44.000000,66.780,5.988
45.000000,66.138,6.054
46.000000,66.201,6.120
47.000000,65.621,6.186
48.000000,65.722,6.251
49.000000,65.778,6.317
50.000000,1465.058,7.782
51.000000,950.747,8.733
52.000000,93.407,8.826
53.000000,84.282,8.911
54.000000,122.764,9.033
55.000000,1080.428,10.114
56.000000,102.238,10.216
57.000000,86.804,10.303
58.000000,105.480,10.408
59.000000,87.305,10.496
60.000000,101.324,10.597
61.000000,172.443,10.770
62.000000,88.224,10.858
63.000000,81.416,10.939
64.000000,87.452,11.027
65.000000,66.206,11.093
66.000000,66.114,11.159
67.000000,66.274,11.225
68.000000,66.489,11.292
69.000000,66.465,11.358
70.000000,102.008,11.460
71.000000,174.262,11.635
72.000000,88.531,11.723
73.000000,66.619,11.790
74.000000,66.716,11.856
75.000000,66.824,11.923
76.000000,66.739,11.990
77.000000,66.712,12.057
78.000000,66.408,12.123
79.000000,66.500,12.190
80.000000,107.621,12.297
81.000000,219.964,12.517
82.000000,103.832,12.621
83.000000,87.726,12.709
84.000000,66.144,12.775
85.000000,66.394,12.841
86.000000,82.352,12.924
87.000000,103.119,13.027
88.000000,88.174,13.115
89.000000,66.553,13.182
90.000000,107.493,13.289
91.000000,219.149,13.508
92.000000,88.453,13.597
93.000000,66.354,13.663
94.000000,82.667,13.746
95.000000,87.936,13.834
96.000000,81.695,13.915
97.000000,88.288,14.004
98.000000,66.404,14.070
99.000000,66.255,14.136
100.000000,107.434,14.244
