simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,650.735,0.651
2.000000,764.843,1.416
3.000000,60.866,1.476
4.000000,51.226,1.528
5.000000,59.201,1.587
6.000000,810.642,2.398
7.000000,61.293,2.459
8.000000,46.964,2.506
9.000000,47.767,2.554
10.000000,89.939,2.644
11.000000,128.731,2.772
12.000000,62.214,2.834
13.000000,46.715,2.881
14.000000,50.010,2.931
15.000000,48.406,2.980
16.000000,89.956,3.070
17.000000,73.246,3.143
18.000000,88.309,3.231
19.000000,74.803,3.306
20.000000,104.079,3.410
21.000000,156.238,3.566
22.000000,89.355,3.656
23.000000,72.787,3.728
24.000000,104.475,3.833
25.000000,72.632,3.906
26.000000,60.903,3.966
27.000000,47.140,4.014
28.000000,47.504,4.061
29.000000,46.488,4.108
30.000000,76.713,4.184
31.000000,124.804,4.309
32.000000,73.336,4.383
33.000000,62.163,4.445
34.000000,47.334,4.492
35.000000,47.460,4.540
36.000000,47.231,4.587
37.000000,59.223,4.646
38.000000,71.958,4.718
39.000000,75.363,4.793
40.000000,88.449,4.882
41.000000,123.167,5.005
42.000000,62.403,5.067
43.000000,46.708,5.114
44.000000,47.037,5.161
45.000000,46.615,5.208
46.000000,47.435,5.255
47.000000,46.323,5.302
48.000000,47.939,5.350
49.000000,48.842,5.398
50.000000,1899.137,7.297
51.000000,695.883,7.993
52.000000,62.288,8.056
53.000000,60.584,8.116
54.000000,74.841,8.191
55.000000,832.255,9.023
56.000000,93.456,9.117
57.000000,73.681,9.191
58.000000,56.920,9.247
59.000000,59.073,9.307
60.000000,89.235,9.396
61.000000,126.261,9.522
62.000000,61.129,9.583
63.000000,59.354,9.643
64.000000,66.520,9.709
65.000000,47.001,9.756
66.000000,46.773,9.803
67.000000,48.053,9.851
68.000000,47.128,9.898
69.000000,50.824,9.949
70.000000,76.427,10.025
71.000000,128.944,10.154
72.000000,61.065,10.215
73.000000,46.833,10.262
74.000000,46.630,10.309
75.000000,49.341,10.358
76.000000,48.224,10.406
77.000000,46.973,10.453
78.000000,46.829,10.500
79.000000,48.606,10.549
80.000000,77.736,10.627
81.000000,168.479,10.795
82.000000,74.535,10.870
83.000000,64.347,10.934
84.000000,59.263,10.993
85.000000,73.507,11.067
86.000000,62.241,11.129
87.000000,47.308,11.176
88.000000,47.964,11.224
89.000000,49.042,11.273
90.000000,78.589,11.352
91.000000,157.307,11.509
92.000000,63.970,11.573
93.000000,49.900,11.623
94.000000,47.113,11.670
95.000000,47.251,11.717
96.000000,47.734,11.765
97.000000,49.268,11.814
98.000000,47.080,11.862
99.000000,48.948,11.910
100.000000,78.540,11.989
