simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,288.055,0.288
2.000000,58.155,0.346
3.000000,35.136,0.381
4.000000,27.568,0.409
5.000000,36.577,0.446
6.000000,334.497,0.780
7.000000,34.641,0.815
8.000000,28.040,0.843
9.000000,27.883,0.871
10.000000,59.051,0.930
11.000000,74.288,1.004
12.000000,36.234,1.040
13.000000,26.701,1.067
14.000000,26.756,1.094
15.000000,27.106,1.121
16.000000,58.460,1.179
17.000000,42.500,1.222
18.000000,31.288,1.253
19.000000,31.893,1.285
20.000000,50.832,1.336
21.000000,83.010,1.419
22.000000,38.988,1.458
23.000000,30.683,1.488
24.000000,25.488,1.514
25.000000,24.468,1.538
26.000000,24.602,1.563
27.000000,25.538,1.589
28.000000,23.146,1.612
29.000000,32.110,1.644
30.000000,49.406,1.693
31.000000,67.064,1.760
32.000000,35.312,1.796
33.000000,24.321,1.820
34.000000,24.483,1.844
35.000000,25.358,1.870
36.000000,31.259,1.901
37.000000,39.190,1.940
38.000000,39.311,1.980
39.000000,39.258,2.019
40.000000,48.088,2.067
41.000000,66.652,2.134
42.000000,29.908,2.164
43.000000,26.650,2.190
44.000000,24.923,2.215
45.000000,25.070,2.240
46.000000,23.224,2.263
47.000000,25.219,2.289
48.000000,23.684,2.312
49.000000,25.747,2.338
50.000000,304.387,2.642
51.000000,295.276,2.938
52.000000,34.541,2.972
53.000000,35.737,3.008
54.000000,54.566,3.063
55.000000,339.820,3.402
56.000000,43.412,3.446
57.000000,34.248,3.480
58.000000,47.681,3.528
59.000000,34.000,3.562
60.000000,47.307,3.609
61.000000,72.466,3.682
62.000000,34.318,3.716
63.000000,35.677,3.752
64.000000,34.446,3.786
65.000000,27.780,3.814
66.000000,28.889,3.843
67.000000,27.917,3.871
68.000000,23.591,3.894
69.000000,25.700,3.920
70.000000,42.569,3.962
71.000000,69.448,4.032
72.000000,31.034,4.063
73.000000,26.914,4.090
74.000000,24.881,4.115
75.000000,25.094,4.140
76.000000,25.516,4.165
77.000000,31.241,4.197
78.000000,37.934,4.235
79.000000,26.965,4.262
80.000000,46.679,4.308
81.000000,84.013,4.392
82.000000,39.513,4.432
83.000000,32.614,4.464
84.000000,25.319,4.490
85.000000,24.029,4.514
86.000000,34.577,4.548
87.000000,44.431,4.593
88.000000,32.684,4.625
89.000000,29.117,4.655
90.000000,51.312,4.706
91.000000,93.305,4.799
92.000000,39.016,4.838
93.000000,27.171,4.865
94.000000,39.028,4.904
95.000000,37.241,4.942
96.000000,36.051,4.978
97.000000,35.902,5.014
98.000000,29.136,5.043
99.000000,28.409,5.071
100.000000,52.305,5.124
