simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,993.647,0.994
2.000000,150.289,1.144
3.000000,89.133,1.233
4.000000,67.510,1.301
5.000000,83.029,1.384
6.000000,1110.030,2.494
7.000000,99.407,2.593
8.000000,68.537,2.662
9.000000,73.512,2.735
10.000000,125.342,2.860
11.000000,182.613,3.043
12.000000,89.806,3.133
13.000000,69.082,3.202
14.000000,68.267,3.270
15.000000,72.925,3.343
16.000000,133.169,3.476
17.000000,108.881,3.585
18.000000,89.628,3.675
19.000000,86.101,3.761
20.000000,126.208,3.887
21.000000,241.674,4.129
22.000000,104.599,4.234
23.000000,94.403,4.328
24.000000,66.922,4.395
25.000000,70.031,4.465
26.000000,70.178,4.535
27.000000,67.371,4.602
28.000000,68.110,4.671
29.000000,90.913,4.761
30.000000,127.415,4.889
31.000000,185.609,5.075
32.000000,93.307,5.168
33.000000,67.882,5.236
34.000000,67.455,5.303
35.000000,67.831,5.371
36.000000,83.359,5.454
37.000000,106.692,5.561
38.000000,110.542,5.672
39.000000,135.317,5.807
40.000000,194.819,6.002
41.000000,211.604,6.213
42.000000,93.834,6.307
43.000000,69.983,6.377
44.000000,76.987,6.454
45.000000,67.692,6.522
46.000000,70.167,6.592
47.000000,67.869,6.660
48.000000,67.509,6.727
49.000000,67.794,6.795
50.000000,1134.451,7.930
51.000000,1947.324,9.877
52.000000,1429.276,11.306
53.000000,1271.915,12.578
54.000000,233.715,12.812
55.000000,1091.170,13.903
56.000000,175.322,14.078
57.000000,270.618,14.349
58.000000,225.518,14.575
59.000000,240.075,14.815
60.000000,225.226,15.040
61.000000,295.045,15.335
62.000000,279.496,15.614
63.000000,285.393,15.900
64.000000,298.013,16.198
65.000000,260.773,16.459
66.000000,265.787,16.724
67.000000,261.515,16.986
68.000000,264.611,17.251
69.000000,241.521,17.492
70.000000,263.306,17.755
71.000000,340.446,18.096
72.000000,250.138,18.346
73.000000,263.175,18.609
74.000000,241.446,18.851
75.000000,1012.415,19.863
76.000000,125.443,19.989
77.000000,110.261,20.099
78.000000,89.449,20.188
79.000000,128.243,20.316
80.000000,180.732,20.497
81.000000,226.253,20.723
82.000000,171.086,20.895
83.000000,150.390,21.045
84.000000,148.692,21.194
85.000000,174.296,21.368
86.000000,162.128,21.530
87.000000,163.168,21.693
88.000000,132.194,21.825
89.000000,114.429,21.940
90.000000,153.990,22.094
91.000000,236.703,22.331
92.000000,154.707,22.485
93.000000,157.210,22.643
94.000000,169.913,22.812
95.000000,165.396,22.978
96.000000,136.431,23.114
97.000000,134.430,23.249
98.000000,129.927,23.379
99.000000,131.254,23.510
100.000000,170.920,23.681
