simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,617.169,0.617
2.000000,100.034,0.717
3.000000,58.958,0.776
4.000000,45.746,0.822
5.000000,57.228,0.879
6.000000,675.276,1.554
7.000000,60.817,1.615
8.000000,45.578,1.661
9.000000,45.097,1.706
10.000000,87.850,1.794
11.000000,122.571,1.916
12.000000,59.876,1.976
13.000000,45.297,2.022
14.000000,45.244,2.067
15.000000,45.338,2.112
16.000000,88.171,2.200
17.000000,70.373,2.271
18.000000,58.784,2.330
19.000000,57.223,2.387
20.000000,86.037,2.473
21.000000,151.329,2.624
22.000000,71.022,2.695
23.000000,58.719,2.754
24.000000,45.174,2.799
25.000000,45.466,2.845
26.000000,45.383,2.890
27.000000,45.143,2.935
28.000000,45.496,2.981
29.000000,56.948,3.038
30.000000,86.025,3.124
31.000000,119.469,3.243
32.000000,59.662,3.303
33.000000,45.244,3.348
34.000000,45.440,3.393
35.000000,45.277,3.439
36.000000,57.038,3.496
37.000000,71.993,3.568
38.000000,70.912,3.639
39.000000,70.257,3.709
40.000000,85.944,3.795
41.000000,118.979,3.914
42.000000,59.409,3.973
43.000000,45.443,4.019
44.000000,45.315,4.064
45.000000,45.373,4.109
46.000000,45.470,4.155
47.000000,45.205,4.200
48.000000,45.209,4.245
49.000000,45.431,4.291
50.000000,740.216,5.031
51.000000,1285.311,6.316
52.000000,971.025,7.287
53.000000,876.737,8.164
54.000000,174.563,8.339
55.000000,733.563,9.072
56.000000,117.595,9.190
57.000000,175.286,9.365
58.000000,164.368,9.529
59.000000,153.591,9.683
60.000000,156.653,9.840
61.000000,209.948,10.050
62.000000,188.752,10.238
63.000000,170.424,10.409
64.000000,188.871,10.598
65.000000,183.489,10.781
66.000000,173.523,10.955
67.000000,159.988,11.115
68.000000,173.305,11.288
69.000000,158.148,11.446
70.000000,176.286,11.622
71.000000,223.846,11.846
72.000000,158.379,12.005
73.000000,173.705,12.178
74.000000,159.387,12.338
75.000000,645.129,12.983
76.000000,86.385,13.069
77.000000,70.622,13.140
78.000000,59.186,13.199
79.000000,86.525,13.286
80.000000,119.466,13.405
81.000000,154.194,13.559
82.000000,116.150,13.676
83.000000,99.542,13.775
84.000000,99.338,13.874
85.000000,115.335,13.990
86.000000,99.781,14.090
87.000000,88.994,14.179
88.000000,74.693,14.253
89.000000,74.569,14.328
90.000000,105.423,14.433
91.000000,153.599,14.587
92.000000,100.663,14.687
93.000000,101.077,14.789
94.000000,99.863,14.888
95.000000,88.124,14.977
96.000000,74.725,15.051
97.000000,74.521,15.126
98.000000,74.596,15.200
99.000000,74.451,15.275
100.000000,102.922,15.378
