simulation_time,computation_time_ms,accumulated_computation_time_s
1.000000,291.634,0.292
2.000000,53.731,0.345
3.000000,31.763,0.377
4.000000,25.098,0.402
5.000000,33.184,0.435
6.000000,320.145,0.756
7.000000,31.200,0.787
8.000000,24.936,0.812
9.000000,24.973,0.837
10.000000,59.945,0.897
11.000000,68.456,0.965
12.000000,32.228,0.997
13.000000,25.911,1.023
14.000000,23.914,1.047
15.000000,25.200,1.072
16.000000,57.004,1.129
17.000000,38.648,1.168
18.000000,32.234,1.200
19.000000,33.191,1.234
20.000000,50.661,1.284
21.000000,83.304,1.367
22.000000,41.953,1.409
23.000000,31.285,1.441
24.000000,25.866,1.467
25.000000,26.371,1.493
26.000000,23.122,1.516
27.000000,26.072,1.542
28.000000,24.950,1.567
29.000000,33.415,1.601
30.000000,50.686,1.651
31.000000,68.728,1.720
32.000000,32.766,1.753
33.000000,25.143,1.778
34.000000,25.114,1.803
35.000000,25.911,1.829
36.000000,34.235,1.863
37.000000,39.034,1.902
38.000000,40.579,1.943
39.000000,40.886,1.984
40.000000,52.642,2.036
41.000000,68.828,2.105
42.000000,35.024,2.140
43.000000,28.417,2.169
44.000000,28.055,2.197
45.000000,25.427,2.222
46.000000,24.212,2.246
47.000000,25.426,2.272
48.000000,25.988,2.298
49.000000,26.132,2.324
50.000000,523.980,2.848
51.000000,574.484,3.422
52.000000,448.823,3.871
53.000000,398.318,4.269
54.000000,92.271,4.362
55.000000,332.825,4.695
56.000000,66.239,4.761
57.000000,78.823,4.840
58.000000,80.911,4.921
59.000000,79.841,5.000
60.000000,79.439,5.080
61.000000,109.916,5.190
62.000000,93.339,5.283
63.000000,83.218,5.366
64.000000,95.307,5.462
65.000000,95.188,5.557
66.000000,94.439,5.651
67.000000,83.615,5.735
68.000000,95.508,5.830
69.000000,85.473,5.916
70.000000,96.026,6.012
71.000000,123.383,6.135
72.000000,83.901,6.219
73.000000,95.823,6.315
74.000000,84.562,6.400
75.000000,311.263,6.711
76.000000,51.621,6.763
77.000000,39.853,6.802
78.000000,31.786,6.834
79.000000,48.821,6.883
80.000000,68.212,6.951
81.000000,85.965,7.037
82.000000,66.347,7.104
83.000000,54.290,7.158
84.000000,56.214,7.214
85.000000,66.751,7.281
86.000000,54.242,7.335
87.000000,46.904,7.382
88.000000,41.025,7.423
89.000000,39.653,7.463
90.000000,61.761,7.524
91.000000,86.068,7.611
92.000000,54.867,7.665
93.000000,54.233,7.720
94.000000,56.195,7.776
95.000000,45.554,7.821
96.000000,41.582,7.863
97.000000,39.634,7.903
98.000000,41.021,7.944
99.000000,38.962,7.983
100.000000,60.635,8.043
